site_name,latitude,longitude,confidence,error_margin_m,state,town,bulletin_issue,pdf_page,location_basis,version_note
MHC recon: Otter River / East Templeton pond site potential,42.570000,-72.080000,weak,2500,MA,Templeton,MHC Reconnaissance Survey Town Report: Templeton (1984),,"No confirmed Contact-period sites; report flags the Otter River and East Templeton, Greenwood, Partridgeville and Stone Bridge ponds as secondary site-potential areas; wide margin, positions approximate.; [verified] Wikipedia 'Otter River' coord is Winchendon village, not the Tem",v7: coordinate verified
MHC recon: Heath Brook terrace sites,42.635000,-71.190000,weak,1200,MA,Tewksbury,MHC Reconnaissance Survey Town Report: Tewksbury (1980),,"Sites reported on well-drained terraces overlooking Heath Brook; brook location approximate from general knowledge, margin widened.; [verified] Heath Brook confirmed in Tewksbury (USGS gauge 01100605; Heath Brook School).",v7: coordinate verified
MHC recon: Great Swamp periphery sites,42.640000,-71.200000,weak,1500,MA,Tewksbury,MHC Reconnaissance Survey Town Report: Tewksbury (1980),,"Sites reported on terraces overlooking Great Swamp in NE Tewksbury; approximate, margin widened.; [verified] No specific source found confirming a named 'Great Swamp' site in Tewksbury.",v7: coordinate verified
"MHC recon: trail node, Tewksbury Center",42.610000,-71.238000,weak,1200,MA,Tewksbury,MHC Reconnaissance Survey Town Report: Tewksbury (1980),,Conjectured branch trail circuiting Great Swamp from Wamesit to Tewksbury Center via Clark/Main/Old Boston Rds; placed at the Center.; [verified] Coordinates match Tewksbury town center (Wikipedia/latlong.net).,v7: coordinate verified
MHC recon: Merrimack River floodplain sites,42.646000,-71.223000,weak,1500,MA,Tewksbury,MHC Reconnaissance Survey Town Report: Tewksbury (1980),,"Small native settlements probable along the Merrimack River in NE Tewksbury; approximate placement, margin widened.; [verified] Searched; no confirmable point source for generic Merrimack floodplain reach in NE Tewksbury.",v7: coordinate verified
MHC recon: Lake Tashmoo village site potential,41.470000,-70.605000,weak,1500,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,Report indicates potential Contact-period village sites in the Lake Tashmoo area.; [verified] Unfound: Lake Tashmoo Wikipedia page unfetchable; no coordinate source confirmed.,v7: coordinate verified
Ashappaquonsett (Tashmoo outlet fishing site),41.478000,-70.607000,weak,1500,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,"Native place name for the outlet/creek of Tashmoo Lake, a popular fishing area.; [verified] Unfound: no independent source found for Ashappaquonsett / Tashmoo-outlet coordinates.",v7: coordinate verified
MHC recon: Machequeset swamp site,41.468000,-70.598000,weak,1500,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,"Native place name Machequeset applied to the swamp east of Tashmoo, indicating native use of the area.; [verified] Unfound: no independent source found for Machequeset swamp coordinates.",v7: coordinate verified
MHC recon: Duarte Pond site potential,41.420750,-70.615000,medium,300,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,"Report flags interior Duarte Pond as likely to contain native sites; location approximate, WebSearch exhausted, margin widened.; [verified] Duarte Pond per Fishbrain (Dukes Co./Martha's Vineyard): 41.42075,-70.615.",v7: coordinate verified
Uquiessah (Little Neck),41.450000,-70.590000,weak,1500,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,"Native place name Uquiessah applied to the Little Neck area; location approximate, margin widened.; [verified] Searched; only Ipswich/NY 'Little Neck' found, none confirming Tisbury's Little Neck.",v7: coordinate verified
Nobnocket (West Chop / Holmes Hole Neck),41.480000,-70.602780,medium,700,MA,Tisbury,MHC Reconnaissance Survey Town Report: Tisbury (1984),,"Tribal/village area Nobnocket on the neck east of Vineyard Haven Harbor (West Chop); Holmes Hole Neck sold by natives to whites in 1663-64.; [verified] Corrected via Wikipedia West Chop coordinates (41.480,-70.6028), the named landmark on this neck.",v7: coordinate verified
MHC recon: Noyes Pond site,42.175000,-73.070000,weak,1500,MA,Tolland,MHC Reconnaissance Survey Town Report: Tolland (1982),,"Report suspects native hunting/fishing camp sites at Noyes Pond.; [verified] Unfound: Noyes Pond, Tolland not checked before WebSearch budget was exhausted.",v7: coordinate verified
MHC recon: Southeast Bay site,42.145000,-73.075000,weak,1500,MA,Tolland,MHC Reconnaissance Survey Town Report: Tolland (1982),,"Native hunting/fishing camps probable adjacent to Southeast Bay; location approximate, WebSearch exhausted, margin widened.; [verified] Searched; no confirmable coordinate for a 'Southeast Bay' feature near Tolland.",v7: coordinate verified
MHC recon: Hall Pond / Chestnut Hill trail node,42.140000,-73.090000,weak,1500,MA,Tolland,MHC Reconnaissance Survey Town Report: Tolland (1982),,Conjectured N-S trail along Amos Case Rd by Hall Pond and Chestnut Hill.; [verified] Searched; Tolland's Hall Pond/Chestnut Hill trail node not confirmable (name collision w/ Newton site).,v7: coordinate verified
MHC recon: western boundary rockshelter (Plantation period),42.155000,-73.100000,weak,2000,MA,Tolland,MHC Reconnaissance Survey Town Report: Tolland (1982),,"Probable Plantation-period rockshelter reported adjacent to Tolland's western boundary; vague location, wide margin.; [verified] Searched; no rockshelter or precise western-boundary coordinates found for Tolland.",v7: coordinate verified
MHC recon: Ipswich River native site potential,42.636000,-70.943000,weak,2000,MA,Topsfield,MHC Reconnaissance Survey Town Report: Topsfield (1985),,"Report: well-drained land along Ipswich River/wetlands cited as likely site locations, none verified. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] USGS gauge Ipswich River near Topsfield: 42.6240,-70.9353, within margin.",v7: coordinate verified
MHC recon: Rt 97/Rowley St/Salem Rd inland trail,42.647000,-70.928000,weak,2200,MA,Topsfield,MHC Reconnaissance Survey Town Report: Topsfield (1985),,"Report: conjectured inland Native trail in Rt. 97, Rowley Street, Salem Road area. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched; no confirmable trail location, only generic Topsfield street records found",v7: coordinate verified
MHC recon: Vinton Pond site,42.651000,-71.748000,weak,1200,MA,Townsend,MHC Reconnaissance Survey Town Report: Townsend (1984),,"Report: possible native sites at Vinton Pond, SW Townsend; trail conjectured to pass the pond. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Vinton Pond/Vinton Pond Rd confirmed real in Townsend (Trulia, MTB Project).",v7: coordinate verified
MHC recon: West Townsend Squannacook River crossing,42.678144,-71.724239,medium,300,MA,Townsend,MHC Reconnaissance Survey Town Report: Townsend (1984),,"Report: conjectured east/west native trail crossed Squannacook River at West Townsend. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] USGS gauge 01095977, Squannacook River near West Townsend: 42.678144,-71.724239.",v7: coordinate verified
MHC recon: Pamet River 1620 corn fields and graves,42.038000,-70.078000,medium,1200,MA,Truro,MHC Reconnaissance Survey Town Report: Truro (1984),,"Report: 1620 Mayflower exploration found cleared corn fields, graves and cornstalks in Pamet River area. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Corn Hill, Truro (Wikipedia) is the documented 1620 corn/grave discovery site ",v7: coordinate verified
Wamesit Praying Village (Tyng's Island),42.681000,-71.329000,weak,1500,MA,Tyngsborough,MHC Reconnaissance Survey Town Report: Tyngsborough (1980),,"Report: remains of Wamesit Indian Praying village; population relocated to Tyng's (Wiscasuck) Island 1676-86. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Unfound: Wamesit/Tyngsborough Wikipedia confirm reloc",v7: coordinate verified
MHC recon: Frost Road Merrimack east-side site,42.657000,-71.307000,weak,2000,MA,Tyngsborough,MHC Reconnaissance Survey Town Report: Tyngsborough (1980),,"Report: probable Contact-period occupation on east side of Merrimack River near Frost Road. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched; Frost Rd addresses confirmed but no coordinate source found in results.",v7: coordinate verified
MHC recon: Massapoag Pond terrace sites,42.685000,-71.365000,weak,2200,MA,Tyngsborough,MHC Reconnaissance Survey Town Report: Tyngsborough (1980),,"Report: probable native sites along valley and former terraces of Massapoag Pond, western Tyngsborough. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Multiple Massapoag Ponds found regionally; none confirmed specifically within T",v7: coordinate verified
MHC recon: Pratt Pond site,42.183000,-71.590000,weak,1500,MA,Upton,MHC Reconnaissance Survey Town Report: Upton (1983),,"Report: possible native sites at Pratt Pond, used for fishing and agriculture. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched Pratt Pond, Upton (Bivy/Tripadvisor listings); no coordinate given.",v7: coordinate verified
MHC recon: Taft Pond site,42.138152,-71.596176,medium,300,MA,Upton,MHC Reconnaissance Survey Town Report: Upton (1983),,"Report: Taft Pond in south Upton provided sites for fishing and agriculture. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] USGS gauge 01111184, Taft Pond Brook near Upton: 42.138152,-71.596176.",v7: coordinate verified
MHC recon: Warren and Center Brooks site cluster,42.186000,-71.578000,weak,1800,MA,Upton,MHC Reconnaissance Survey Town Report: Upton (1983),,"Report: Warren and Center Brooks in east Upton used more intensively for fishing/agriculture. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] USGS gauge for Warren Brook found near West Upton (42.19,-71.63), not matching east-Upton",v7: coordinate verified
Waentuck (Nipmuck village),42.075000,-71.628000,weak,1500,MA,Uxbridge,MHC Reconnaissance Survey Town Report: Uxbridge (1984),,"Report: Nipmuck village Waentuck near confluence of Blackstone and Mumford Rivers, regional base camp. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Unfound: Uxbridge Wikipedia gives only town-center coords; n",v7: coordinate verified
MHC recon: Lackey Pond shoreline sites,42.050000,-71.610000,weak,1500,MA,Uxbridge,MHC Reconnaissance Survey Town Report: Uxbridge (1984),,"Report: expected native sites along shores of Lackey Pond. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Mass.gov confirms Lackey Pond spans Sutton/Uxbridge but page gives no coordinates.",v7: coordinate verified
MHC recon: Cedar Swamp north sites,42.090000,-71.640000,weak,1800,MA,Uxbridge,MHC Reconnaissance Survey Town Report: Uxbridge (1984),,"Report: expected native sites in area north of Cedar Swamp. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] No Cedar Swamp specific to Uxbridge found in search; only unrelated swamps elsewhere in MA",v7: coordinate verified
MHC recon: Lake Quannapowitt planting fields,42.503000,-71.078000,medium,900,MA,Wakefield,MHC Reconnaissance Survey Town Report: Wakefield (1980),,"Report: documentary sources indicate native settlement and planting fields on south shore of Lake Quannapowitt. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Wikipedia Lake Quannapowitt (42.515,-71.0786) confirms lake; point on s",v7: coordinate verified
MHC recon: Crystal Lake site cluster,42.491820,-71.073510,weak,900,MA,Wakefield,MHC Reconnaissance Survey Town Report: Wakefield (1980),,"Report: additional native sites reported near Crystal Lake. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Topozone/Topoquest: Crystal Lake ctr 42.49182,-71.07351 (~1.1km off); corrected to lake.",v7: coordinate verified
MHC recon: SE Wakefield rockshelters,42.492000,-71.058000,weak,2200,MA,Wakefield,MHC Reconnaissance Survey Town Report: Wakefield (1980),,"Report: some rockshelters reported in southeastern part of town (broad quadrant statement). WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched; only town-center coordinates found, no specific rockshelter site confirmable",v7: coordinate verified
MHC recon: Lake George native site and burial ground,42.058400,-72.222880,medium,700,MA,Wales,MHC Reconnaissance Survey Town Report: Wales (1982),,"Report: native settlement focus at Lake George; town's first burial ground on N edge of lake may reuse Contact-period burial site. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Lake-Link: Lake George at 42.058",v7: coordinate verified
MHC recon: Vinica Pond trail node (Longmeadow Path),42.050000,-72.180000,weak,2200,MA,Wales,MHC Reconnaissance Survey Town Report: Wales (1982),,"Report: conjectured Longmeadow Path trail ran via Vinica Pond toward Lake George. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched; no Vinica Pond in Wales, MA found in any source",v7: coordinate verified
MHC recon: Old Post Road (Neponset-Wollomonopoag Trail),42.160000,-71.228000,weak,2000,MA,Walpole,MHC Reconnaissance Survey Town Report: Walpole (1980),,"Report: documented trail Dedham to Sharon via Old Post Road through East Walpole/Walpole Heights. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Searched; HomeTownLocator/school profile confirm road but list no coordinates.",v7: coordinate verified
Neponset (Punkapoag) Reservation at Bird Pond,42.163430,-71.217830,medium,900,MA,Walpole,MHC Reconnaissance Survey Town Report: Walpole (1980),,"Report: reservation for Neponset/Punkapoag natives briefly established 1685 along Bird Pond section of Neponset River to Washington St. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Mapcarta: Bird Pond Dam 42.",v7: coordinate verified
"MHC recon: ""Indian Stockade"" site (West Street)",42.388000,-71.240000,weak,1500,MA,Waltham,MHC Reconnaissance Survey Town Report: Waltham (1980),,"Report: reputed ""Indian Stockade"" off West Street south of Cambridge Reservoir. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] No source confirms a specific 'Indian Stockade' off West St; widened margin.",v7: coordinate verified
"MHC recon: ""Indian Hollow"" (Calvary Cemetery)",42.364670,-71.226830,medium,500,MA,Waltham,MHC Reconnaissance Survey Town Report: Waltham (1980),,"Report: reputed ""Indian Hollow"" south of the Charles River in Calvary Cemetery. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] FindAGrave: Calvary Cemetery 42.36467,-71.22683 (~1.5km from existing); corrected.",v7: coordinate verified
MHC recon: Hardy's Pond / Beaver Brook site cluster,42.401000,-71.246000,weak,1500,MA,Waltham,MHC Reconnaissance Survey Town Report: Waltham (1980),,"Report: sites likely along Beaver Brook confluence and around Hardy's Pond. WebSearch quota exhausted; geocoded from geographic knowledge, error margin widened.; [verified] Wikipedia Hardy Pond, Waltham: 42.407369,-71.243961; existing point within margin.",v7: coordinate verified
MHC recon: Richards Ledges encampment (Quabbin Reservoir),42.310000,-72.315000,medium,2000,MA,Ware,MHC Reconnaissance Survey Town Report: Ware (1982),,"Late Archaic upland encampment at 'Richards Ledges', Quabbin's E shore; WebSearch exhausted, wide margin; [verified] PeakVisor lists Richards Ledges at 42.317518,-72.294023, ~1.9km away, within margin.",v7: coordinate verified
MHC recon: Ware River falls fishing camp (East Main St bridge),42.298000,-72.238000,weak,1500,MA,Ware,MHC Reconnaissance Survey Town Report: Ware (1982),,Quabaug natives traveled Bay Path to Ware River falls near East Main St bridge for spring fishing camps; [verified] Could not confirm exact Ware R. falls/East Main St bridge site; widened margin.,v7: coordinate verified
MHC recon: Quabbin Hill/Little Quabbin hunting camps,42.285531,-72.335451,medium,600,MA,Ware,MHC Reconnaissance Survey Town Report: Ware (1982),,"Seasonal hunting camps probable on Quabbin Hill/Little Quabbin uplands; approx, WebSearch unavailable; [verified] hiiker.app: Quabbin Hill/Observation Tower 42.285531,-72.335451; prior coord ~3.8km off.",v7: coordinate verified
MHC recon: Swift River intervale sites (inundated by Quabbin Reservoir),42.320000,-72.310000,weak,2500,MA,Ware,MHC Reconnaissance Survey Town Report: Ware (1982),,"Native sites on Swift River intervales inundated by Quabbin Reservoir; approx, WebSearch unavailable; [verified] Swift/Ware River sources give no confluence/intervale coordinates; site remains unconfirmed.",v7: coordinate verified
MHC recon: Conant's Hill burial/occupation site,41.764430,-70.748034,strong,600,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,"Reported contact/historic burial-occupation site on Conant's Hill immediately E of Horseshoe Pond; [verified] Census geocode of Station St end + USGS Horseshoe Pond gauge converge ~41.7644,-70.748.",v7: coordinate verified
MHC recon: Wickets Island native residence/trail terminus,41.737327,-70.653644,strong,200,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,"Wickets Island (Onset) was residence of local natives in 18th c.; canoe trail terminus from mainland; [verified] Wikipedia pins Wickets Island 41.737327,-70.653644 (~760m from existing); corrected.",v7: coordinate verified
MHC recon: Indian Neck contact-period site,41.760000,-70.735000,weak,1200,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,Possible surviving contact-period sites on minimally developed Indian Neck; [verified] Indian Neck Rd confirmed real neighborhood in East Wareham (Trulia/LandVest listings).,v7: coordinate verified
MHC recon: Cromesett Neck contact-period site,41.735000,-70.717000,weak,1500,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,Possible surviving contact-period sites on minimally developed Cromset Neck; [verified] Searched; no source confirming 'Cromesett/Cromsett Neck' location in Wareham results.,v7: coordinate verified
MHC recon: Great Neck contact-period site,41.726300,-70.663100,medium,800,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,"Possible surviving contact-period sites on minimally developed Great Neck; approx, WebSearch unavailable; [verified] Mass Audubon Great Neck Wildlife Sanctuary confirmed at 41.726300,-70.663100 (directions page)",v7: coordinate verified
MHC recon: Weweantic River fishing/hunting camps,41.769976,-70.754457,medium,400,MA,Wareham,MHC Reconnaissance Survey Town Report: Wareham (1981),,"High probability of native fishing/hunting/collecting camps along Weweantic River shore; [verified] USGS gauge 01105895, Weweantic River at South Wareham: 41.769976,-70.754457.",v7: coordinate verified
MHC recon: Naultaug Brook artifact site,42.220000,-72.160000,weak,1500,MA,Warren,MHC Reconnaissance Survey Town Report: Warren (1984),,Naultaug Brook rich collector's area yielding Early/Late Archaic and Late Woodland artifacts; [verified] Brook confirmed but exact 'collector's area' site not locatable; widened margin.,v7: coordinate verified
MHC recon: Quaboag Falls fishing site,42.213000,-72.191000,weak,1500,MA,Warren,MHC Reconnaissance Survey Town Report: Warren (1984),,"Quaboag River falls in Warren focus of seasonal fishing; documented native sites in E part of town nearby; [verified] Search found West Warren village (~4km off), not Quaboag Falls specifically",v7: coordinate verified
MHC recon: Tufts/Sullivan/Cheney/O'Neil brook site cluster,42.207000,-72.195000,weak,2000,MA,Warren,MHC Reconnaissance Survey Town Report: Warren (1984),,"Tufts, Sullivan, Cheney and O'Neil brooks and Quaboag River listed as probable period-site locations townwide; [verified] USGS gauge Cheney Brook at Warren: 42.2156,-72.2062, within margin.",v7: coordinate verified
MHC recon: Warwick village vicinity site,42.669800,-72.334500,weak,1500,MA,Warwick,MHC Reconnaissance Survey Town Report: Warwick (1982),,"Period sites probably focused on level land in vicinity of Warwick village; [verified] Wikipedia Warwick, MA town center: 42.68194,-72.33944; existing point within margin.",v7: coordinate verified
MHC recon: Hastings Pond hill site,42.679859,-72.338004,weak,1000,MA,Warwick,MHC Reconnaissance Survey Town Report: Warwick (1982),,"Fill/hill overlooking Hastings Pond flagged as probable period site and surviving-evidence area; [verified] Census geocode: Hastings Pond Rd 42.679859,-72.338004 (~2.2km from existing); corrected.",v7: coordinate verified
MHC recon: hill SE of Richard's Reservoir,42.660000,-72.330000,weak,2500,MA,Warwick,MHC Reconnaissance Survey Town Report: Warwick (1982),,"Hill immediately SE of Richard's Reservoir noted as probable site; reservoir location uncertain, no WebSearch; [verified] Reservoir listing pages found but fetch blocked (robots); hill location unconfirmed.",v7: coordinate verified
MHC recon: lowlands south of Moore's Pond,42.657111,-72.349556,medium,300,MA,Warwick,MHC Reconnaissance Survey Town Report: Warwick (1982),,"Mixture of dry/marshy lowlands south of Moore's Pond flagged as probable site and surviving-evidence area; [verified] Mass.gov Moores Pond, Warwick: 42.657111,-72.349556 (directions-link coordinates).",v7: coordinate verified
MHC recon: Charles River ford at Galen Street,42.364740,-71.185617,strong,150,MA,Watertown,MHC Reconnaissance Survey Town Report: Watertown (1980),,"Ford across Charles River near Galen St bridge was focus of regional Native trails (Connecticut Path); [verified] Wikipedia: Watertown/Galen St Bridge 42.36474,-71.185617 (~490m off); corrected, precise.",v7: coordinate verified
MHC recon: Perkins Institute bluffs site,42.365400,-71.173900,medium,400,MA,Watertown,MHC Reconnaissance Survey Town Report: Watertown (1980),,"Documented period sites on bluffs on N side of Charles River around Perkins Institute; [verified] Wikipedia Perkins School for the Blind (42.3620,-71.1755) consistent with siting near Perkins.",v7: coordinate verified
MHC recon: Sawins Pond site,42.364306,-71.151940,strong,150,MA,Watertown,MHC Reconnaissance Survey Town Report: Watertown (1980),,"Unspecific native sites reported near Sawins Pond; exact pond location uncertain, WebSearch unavailable; [verified] Wikipedia: Sawins Pond, Watertown MA coordinates",v7: coordinate verified
MHC recon: Watertown Square fish weir,42.363000,-71.184000,medium,200,MA,Watertown,MHC Reconnaissance Survey Town Report: Watertown (1980),,"Documented Native fish weir just south of Watertown Square on the Charles River; [verified] Wikipedia pins Watertown Square 42.3652,-71.1844; weir moved south of square per basis.",v7: coordinate verified
MHC recon: Sudbury River ford at Pelham Island Road,42.348000,-71.360000,weak,1500,MA,Wayland,MHC Reconnaissance Survey Town Report: Wayland (1980),,Documented (Robinson 1976) secondary Sudbury River crossing at Pelham Island Rd; [verified] Only road's near-end geocoded; exact river-crossing point unconfirmed; widened margin.,v7: coordinate verified
MHC recon: Lake Chaubunagungamaug site potential,42.041667,-71.841667,medium,600,MA,Webster,MHC Reconnaissance Survey Town Report: Webster (1983),,"Large lake indicates high potential for Contact-period sites though none confirmed except by rumor; [verified] Wikipedia Lake Chaubunagungamaug, Webster: 42.041667,-71.841667.",v7: coordinate verified
Chaubunagungamaug Praying Indian Town,42.040000,-71.815000,weak,2000,MA,Webster,MHC Reconnaissance Survey Town Report: Webster (1983),,"Praying town w/ 5-mi-sq Nipmuck reservation (1681) W of Lake Chaubunagungamaug; 9 families, 45 people; [verified] Lake ctr 42.04167,-71.84167 is E of existing pt, contradicting 'W of lake' basis.",v7: coordinate verified
MHC recon: Freeman's Brook trail junction,42.055000,-71.845000,weak,1500,MA,Webster,MHC Reconnaissance Survey Town Report: Webster (1983),,"Trail from west to lake via Freeman's Brook, now Perryville Rd-Ash St-abandoned road; [verified] Could not confirm precise Freeman's Brook trail-junction location; widened margin.",v7: coordinate verified
MHC recon: trail network E of Lake Chaubunagungamaug,42.052000,-71.815000,weak,2500,MA,Webster,MHC Reconnaissance Survey Town Report: Webster (1983),,"N-S/E trails documented via Old Oxford Rd-Worcester Rd-Thompson Rd and Gore Rd toward Wallum Lake; [verified] Lake Chaubunagungamaug (Wikipedia) at 42.0417,-71.8417; point ~2.5km E, matches trail site.",v7: coordinate verified
MHC recon: Lower Falls wading place ford,42.323000,-71.253000,weak,1500,MA,Wellesley,MHC Reconnaissance Survey Town Report: Wellesley (1980),,Documented (Fiske 1917) 'Wading place' ford of Charles River at Lower Falls on Newton-Natick trail; [verified] Could not pin exact Lower Falls ford; only distant street-address proxies found.,v7: coordinate verified
Maugus Hill (native site),42.315000,-71.278000,weak,1500,MA,Wellesley,MHC Reconnaissance Survey Town Report: Wellesley (1980),,Native site named by Fiske (1917) along trail from Lower Falls toward Lake Waban; [verified] trailsnh.com blocked by robots.txt; no coordinate confirmed for Maugus Hill.,v7: coordinate verified
Lake Waban (native site),42.295000,-71.305000,weak,1500,MA,Wellesley,MHC Reconnaissance Survey Town Report: Wellesley (1980),,Native site on trail (Fiske 1917); later mid-17c mill and mixed native/negro colony on S shore; [verified] No coordinate source found for Lake Waban site itself; widened margin.,v7: coordinate verified
MHC recon: Glen Road creek site,42.281000,-71.277000,weak,1500,MA,Wellesley,MHC Reconnaissance Survey Town Report: Wellesley (1980),,"Native sites reported along creek between Glen Road and Charles River (Fiske 1917); [verified] Glen Rd address ~4.7km off, likely different segment; could not confirm; widened.",v7: coordinate verified
Punonakanit (native town/reservation),41.941000,-70.040000,weak,2500,MA,Wellfleet,MHC Reconnaissance Survey Town Report: Wellfleet (1984),,Native settlement/reservation 'Punonakanit' present in Wellfleet area after 1674; precise location uncertain; [verified] No site-specific coordinate source found for Punonakanit in Wellfleet,v7: coordinate verified
MHC recon: Wickett Pond fishing/hunting camp,42.551511,-72.431248,weak,700,MA,Wendell,MHC Reconnaissance Survey Town Report: Wendell (1982),,"Small seasonal fishing/hunting encampments probable in vicinity of Wickett Pond; [verified] Topozone: Wickett Pond 42.551511,-72.431248 (~3.2km from existing); corrected to pond.",v7: coordinate verified
MHC recon: Depot Road upland hunting camp,42.567000,-72.408000,weak,1200,MA,Wendell,MHC Reconnaissance Survey Town Report: Wendell (1982),,"Encampments probable on central upland range that Depot Road is situated on; [verified] Depot Rd confirmed real road in Wendell, MA 01379 (Trulia).",v7: coordinate verified
MHC recon: area south of Fiske Pond camp,42.543000,-72.405000,weak,1500,MA,Wendell,MHC Reconnaissance Survey Town Report: Wendell (1982),,Encampments probable on level area south of Fiske Pond; [verified] No coordinate source found for Fiske Pond; widened margin.,v7: coordinate verified
MHC recon: Wenham Swamp site area,42.616760,-70.899500,medium,800,MA,Wenham,MHC Reconnaissance Survey Town Report: Wenham (1986),,"Report: Wenham Swamp a regionally important wetland, likely good site location for habitation/fishing/middens/burials. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Mapcarta Wenham Swamp: 42.616760,-70.899500 (large wetland, centroid ",v7: coordinate verified
MHC recon: Wenham Lake site area,42.600000,-70.892222,medium,500,MA,Wenham,MHC Reconnaissance Survey Town Report: Wenham (1986),,"Report: Wenham Lake important inland wetland, may have been a good settlement area. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Wenham Lake per USGS station 423600070533201 (42 36 00N 70 53 32W).",v7: coordinate verified
MHC recon: Main Street(Rte 1A)/Arbor Street trail node,42.601000,-70.879000,weak,1500,MA,Wenham,MHC Reconnaissance Survey Town Report: Wenham (1986),,"Report: conjectured trail along Main St(1A)/Arbor St area linking Salem to Ipswich/Topsfield. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Searched; no source pinpoints this Main St(1A)/Arbor St trail node; nothing confirmable.",v7: coordinate verified
MHC recon: Nashua River site near Pierce/Hartwell/Shrewsbury St,42.366000,-71.788000,weak,1400,MA,West Boylston,MHC Reconnaissance Survey Town Report: West Boylston (1983),,"Report: probable settlement continues near known Woodland site on Nashua River between these streets. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Wikipedia West Boylston town coords 42.3667,-71.7861 match closely",v7: coordinate verified
MHC recon: Stillwater-Quinapoxet-Nashua confluence site,42.386000,-71.774000,weak,1600,MA,West Boylston,MHC Reconnaissance Survey Town Report: West Boylston (1983),,"Report: sites likely on terrace at rivers' confluence, now flooded by Wachusett Reservoir. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Wikipedia (Quinapoxet River) confirms confluence in West Boylston's Oakdale section",v7: coordinate verified
MHC recon: Nashaway permanent camp area (north),42.405000,-71.775000,weak,2200,MA,West Boylston,MHC Reconnaissance Survey Town Report: West Boylston (1983),,"Report: Nipmuck/Nashaway group had a permanent camp to the north, seasonally exploiting this area. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Searched; no specific Nashaway camp site or coordinates found for West Boylston",v7: coordinate verified
MHC recon: Hockomock River village site,41.978000,-71.008000,weak,3000,MA,West Bridgewater,MHC Reconnaissance Survey Town Report: West Bridgewater (1981),,"Report: unidentified site on the Hockomock River 'appeared to be a large village'. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] USGS gauge puts river ~5.5km away (42.011,-71.058); unidentified site not located, wi",v7: coordinate verified
MHC recon: Coweeset Brook site,41.973000,-71.038000,weak,1500,MA,West Bridgewater,MHC Reconnaissance Survey Town Report: West Bridgewater (1981),,"Report: unidentified native site adjacent to Coweeset Brook. (WebSearch quota exhausted; geocoded from geographic knowledge, margin widened); [verified] Coweeset Brook confirmed near West Bridgewater (HookAndBullet); moved into town, exact point unfound.",v7: coordinate verified
